"","x"
"1",-1.7
"2",-1.7
"3",-1.6
"4",-2.45
"5",-2
"6",-1.55
"7",-1.65
"8",-1.85
"9",-1.75
"10",-1.85
"11",-2
"12",-1.5
"13",-1.8
"14",-3.4
"15",-1.85
"16",-1.9
"17",-2
"18",-2.2
"19",-2.1
"20",-1.95
"21",-2
"22",-1.95
"23",-1.9
"24",-2.4
"25",-2.1
"26",-2.25
"27",-1.85
"28",-1.85
"29",-2.7
"30",-2.25
"31",-2.25
"32",-2.35
"33",-1.65
"34",-1.45
"35",-2.1
"36",-2
"37",-2.75
"38",-2.3
"39",-2.35
"40",-2.85
"41",-1.85
"42",-2.05
"43",-2.1
"44",-1.8
"45",-1.6
"46",-2.25
"47",-1.55
"48",-1.6
"49",-1.9
"50",-1.85
"51",-1.65
"52",-1.85
"53",-1.7
"54",-1.9
"55",-1.75
"56",-2.05
"57",-1.85
"58",-1.75
"59",-2.5
"60",-1.65
"61",-1.7
"62",-2.75
"63",-2
"64",-1.95
"65",-1.45
"66",-3.25
"67",-2.35
"68",-1.65
"69",-2.5
"70",-4
"71",-2.05
"72",-1.75
"73",-1.75
"74",-1.95
"75",-1.5
"76",-1.95
"77",-1.45
"78",-1.8
"79",-1.95
"80",-2.5
"81",-1.95
"82",-2.45
"83",-2.1
"84",-1.8
"85",-4
"86",-2.2
"87",-2.55
"88",-1.65
"89",-1.9
"90",-1.4
"91",-3.9
"92",-1.85
"93",-2.6
"94",-3.15
"95",-2.75
"96",-1.95
"97",-2.2
"98",-1.6
"99",-1.85
"100",-4
"101",-1.75
"102",-4
"103",-2.65
"104",-3.4
"105",-1.6
"106",-1.9
"107",-1.65
"108",-2.1
"109",-1.55
"110",-1.9
"111",-2.15
"112",-2.3
"113",-2
"114",-2
"115",-2.5
"116",-2.05
"117",-1.9
"118",-1.75
"119",-1.7
"120",-1.75
"121",-2
"122",-2
"123",-1.55
"124",-1.4
"125",-1.35
"126",-2.05
"127",-2.5
"128",-1.95
"129",-1.95
"130",-1.85
"131",-2.35
"132",-1.6
"133",-2.4
"134",-1.9
"135",-1.7
"136",-1.5
"137",-1.75
"138",-1.7
"139",-1.85
"140",-2.5
"141",-1.85
"142",-1.55
"143",-1.7
"144",-2.1
"145",-2.95
"146",-2
"147",-1.2
"148",-1.6
"149",-2
"150",-1.7
"151",-1.85
"152",-2.65
"153",-1.75
"154",-2.25
"155",-1.95
"156",-2.6
"157",-1.75
"158",-1.65
"159",-2.55
"160",-3
"161",-1.7
"162",-1.6
"163",-1.7
"164",-2
"165",-1.6
"166",-1.9
"167",-1.6
"168",-2.15
"169",-1.6
"170",-1.85
"171",-1.8
